Careless Whisper | George Michael
How Can You Mend a Broken Heart | Bee Gees
Sunday Morning | Maroon 5
Purple Rain | Prince
Ain't No Woman (Like The One I've Got) | Four Tops
Crystal Blue Persuasion | Tommy James and The Shondells
See You When I Git There | Lou Rawls
Toast To The Fool (Album Version) | The Dramatics
What You Won't Do For Love | Bobby Caldwell
Can't Get Enough Of Your Love, Babe | Barry White
You're The First, The Last, My Everything | Barry White
Midnight And You | The Love Unlimited Orchestra
Feel Like Makin' Love | Roberta Flack
Theme From Shaft | Isaac Hayes
I Love You More Than Anything (In This World Girl) (Album Version) | Barry White
You Make Me Feel Like Dancing (Remastered) | Leo Sayer
Heaven Must Be Missing An Angel (Pt. 1) | Tavares
More Than A Woman (2007 Remastered Version Saturday Night Fever) | Tavares
Night Fever (2007 Remastered Version Saturday Night Fever) | Bee Gees
More Than A Woman (2007 Remastered Saturday Night Fever LP Version) | Bee Gees
Never, Never Gonna Give Ya Up (Long Version) | Barry White
Reminiscing (2002 Digital Remaster) | Little River Band
Oh Love, Well We Finally Made It (Album Version) | Barry White
The One You Love | Glenn Frey
Today's the Day | America
Eyes Without A Face | Billy Idol
Thin Line Between Love and Hate | The Persuaders
Talking to Myself | Major Harris
Let's Put It All Together | The Stylistics
Love Wont Let Me Wait | Major Harris
Let's Stay Together | Al Green
I Don't Want to Lose You | Spinners
Toby | The Chi-Lites
Stop to Start (Remastered Version) | Blue Magic
Float On | The Floaters
It May Be Winter Outside (But In My Heart It's Spring) | Love Unlimited
Heat Of The Moment | Asia
It Feels So Good to Be Loved So Bad | The Manhattans
I Can't Tell You Why (2013 Remaster) | Eagles
I Just Wanna Stop | Gino Vannelli
The Air That I Breathe | The Hollies
Talking In Your Sleep | The Romantics
Silly Love Songs (Remastered 2014) | Paul McCartney
You Got It | Roy Orbison
Time After Time | Cyndi Lauper
True Colors | Cyndi Lauper
Copacabana (At the Copa) (Long Version) | Barry Manilow
Trouble | Coldplay
Everybody's Changing | Keane
Stumblin' In | Chris Norman
Love So Right | Bee Gees
Don't Walk Away | Electric Light Orchestra
Need Her Love | Electric Light Orchestra
Open Arms | Journey
Rock and Roll Dreams Come Through | Jim Steinman
Arthur's Theme (Best That You Can Do) | Christopher Cross
How Much I Feel (Remastered Version) | Ambrosia
Everything She Wants (Remastered) | Wham!
Mercy Mercy Me (The Ecology) | Marvin Gaye
Wild World | Yusuf / Cat Stevens
Drive | The Cars
Runaway Train | Soul Asylum
You Are so Beautiful | Joe Cocker
Stars | Simply Red
What's Love Got to Do with It | Tina Turner
Key Largo | Bertie Higgins
Faithfully | Journey
Midnight Blue | Melissa Manchester
Love's Theme | The Love Unlimited Orchestra
Can't Get Enough Of Your Love, Babe | Barry White
Boogie Wonderland (with The Emotions) | Earth, Wind & Fire
Yes Sir, I Can Boogie | Baccara
More, More, More (Single Version) | Andrea True Connection
Rivers of Babylon | Boney M.
Rock the Boat | The Hues Corporation
Family Affair | Sly & The Family Stone
Daddy Cool | Boney M.
Let's Groove | Earth, Wind & Fire
Between the Sheets | The Isley Brothers
Summer Breeze | Seals and Crofts
Stayin Alive | Bee Gees
How Deep Is Your Love (2007 Remastered Saturday Night Fever Version) | Bee Gees
You Should Be Dancing (2007 Remastered Version Saturday Night Fever) | Bee Gees
Caribbean Queen (No More Love On The Run) | Billy Ocean
Lluvia de Primavera | Bebu Silvetti
Kung Fu Fighting | Carl Douglas
Xanadu (Xanadu Soundtrack Version) | Olivia Newton-John
After the Love Has Gone | Earth, Wind & Fire
We Didn't Start the Fire | Billy Joel
The River of Dreams | Billy Joel
She Works Hard For The Money | Donna Summer
Grease (2007 Remaster) | Frankie Valli
Got to Be Real | Cheryl Lynn
I Love The Nightlife (Disco 'Round) | Alicia Bridges
I Love The Nightlife | Alicia Bridges
Ladies Night (Single Version) | Kool & The Gang
Don't Stop 'Til You Get Enough | Michael Jackson
Rhapsody In White (Album Version) | The Love Unlimited Orchestra
And the Beat Goes On (Single Edit) | The Whispers
September | Earth, Wind & Fire
Dancing Queen | ABBA
Rock Your Baby | George McCrae
Rock the Boat | The Hues Corporation
Lucky | Jason Mraz
Dreams (2004 Remaster) | Fleetwood Mac
I Wanna Know Your Name | The Intruders
The Crutch | The Tymes
December, 1963 (Oh What a Night!) | The Four Seasons
Right Before Your Eyes | America
Guilty | Barbra Streisand
You're The Only Woman (You & I) | Ambrosia
I Just Fall In Love Again | Anne Murray
It's All Coming Back to Me Now | Céline Dion
AMERIKA | Rammstein
Engel | Rammstein
Angry Again | Megadeth
Betty Davis Eyes (Rerecord) | Kim Carnes
In-A-Gadda-Da-Vida (Single Version) | Iron Butterfly
FM | Steely Dan
What Kind of Fool (feat. Barry Gibb) | Barbra Streisand
My Fair Share (The Love Them from "One on One") | Seals and Crofts
Just Remember I Love You | Firefall
I'd Really Love to See You Tonight (2012 Remaster) | England Dan & John Ford Coley
Him | Rupert Holmes
Sad Eyes (Remastered) | Robert John
